model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model163.csv,19,22,86.4,"['145', '134', '34']"
model152.csv,15,20,75.0,"['145', '125', '134', '25', '15']"
model297.csv,17,19,89.5,"['145', '234']"
model190.csv,17,22,77.3,"['235', '234', '125', '25', '34']"
model503.csv,21,27,77.8,"['235', '125', '45', '25', '15', '23']"
model482.csv,17,26,65.4,"['235', '135', '234', '125', '124', '25', '34', '15', '23']"
model335.csv,17,23,73.9,"['235', '135', '234', '25', '34', '15']"
model60.csv,20,23,87.0,"['234', '125', '24']"
model89.csv,17,22,77.3,"['145', '234', '134', '34', '24']"
model181.csv,16,20,80.0,"['235', '134', '125', '34']"
model88.csv,16,22,72.7,"['145', '234', '125', '134', '25', '24']"
model460.csv,18,25,72.0,"['145', '135', '234', '35', '34', '15', '14']"
model384.csv,20,22,90.9,"['235', '134']"
model261.csv,18,19,94.7,['234']
model370.csv,20,24,83.3,"['125', '124', '25', '15']"
model491.csv,20,26,76.9,"['234', '134', '35', '34', '24', '23']"
model171.csv,16,17,94.1,['235']
model237.csv,19,20,95.0,['234']
model32.csv,17,17,100.0,[]
model477.csv,17,26,65.4,"['145', '234', '125', '124', '25', '34', '24', '15', '14']"
model506.csv,18,27,66.7,"['235', '135', '234', '125', '123', '25', '34', '15', '23']"
model151.csv,16,20,80.0,"['145', '125', '25', '15']"
model270.csv,18,22,81.8,"['234', '25', '34', '24']"
model508.csv,20,27,74.1,"['235', '135', '134', '123', '34', '15', '23']"
model221.csv,21,26,80.8,"['145', '135', '125', '15', '14']"
model388.csv,19,23,82.6,"['235', '234', '134', '34']"
model51.csv,18,22,81.8,"['135', '134', '34', '15']"
model207.csv,18,24,75.0,"['234', '125', '134', '25', '24', '23']"
model381.csv,18,20,90.0,"['235', '234']"
model286.csv,19,24,79.2,"['135', '134', '35', '34', '15']"
model255.csv,18,23,78.3,"['234', '134', '124', '34', '24']"
model447.csv,20,22,90.9,"['235', '134']"
model420.csv,22,26,84.6,"['234', '35', '24', '23']"
model453.csv,19,24,79.2,"['135', '234', '134', '34', '15']"
model454.csv,18,24,75.0,"['145', '234', '25', '34', '24', '15']"
model34.csv,17,18,94.4,['234']
model184.csv,16,21,76.2,"['235', '234', '125', '25', '34']"
model450.csv,21,24,87.5,"['125', '25', '15']"
model353.csv,20,25,80.0,"['234', '134', '35', '34', '23']"
model100.csv,21,24,87.5,"['234', '125', '24']"
model249.csv,16,23,69.6,"['135', '234', '125', '124', '25', '34', '15']"
model369.csv,20,24,83.3,"['125', '35', '25', '15']"
model118.csv,17,22,77.3,"['235', '135', '134', '34', '15']"
model396.csv,18,25,72.0,"['145', '135', '125', '124', '25', '15', '14']"
model373.csv,21,24,87.5,"['134', '35', '34']"
model191.csv,16,22,72.7,"['235', '234', '125', '134', '25', '34']"
model90.csv,16,22,72.7,"['145', '234', '134', '125', '34', '24']"
