model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model136.csv,20,24,83.3,"['234', '125', '25', '23']"
model10.csv,15,20,75.0,"['234', '125', '134', '25', '34']"
model279.csv,17,23,73.9,"['234', '125', '124', '25', '34', '24']"
model465.csv,18,25,72.0,"['235', '135', '234', '35', '34', '15', '23']"
model358.csv,17,19,89.5,"['145', '15']"
model458.csv,20,25,80.0,"['145', '125', '35', '15', '14']"
model484.csv,19,26,73.1,"['235', '135', '134', '124', '34', '15', '23']"
model92.csv,18,23,78.3,"['145', '135', '134', '34', '15']"
model230.csv,16,16,100.0,[]
model509.csv,17,27,63.0,"['235', '145', '234', '125', '45', '25', '34', '24', '15', '23']"
model98.csv,21,24,87.5,"['135', '125', '15']"
model324.csv,15,16,93.8,['235']
model362.csv,19,21,90.5,"['145', '25']"
model293.csv,16,17,94.1,['145']
model502.csv,19,27,70.4,"['145', '234', '134', '123', '34', '24', '15', '14']"
model56.csv,17,22,77.3,"['234', '134', '125', '34', '24']"
model406.csv,16,25,64.0,"['235', '145', '234', '125', '124', '25', '24', '15', '23']"
model266.csv,19,22,86.4,"['125', '25', '15']"
model290.csv,19,24,79.2,"['234', '134', '35', '34', '24']"
model457.csv,19,24,79.2,"['234', '134', '34', '24', '23']"
model74.csv,14,20,70.0,"['145', '234', '125', '134', '25', '34']"
model129.csv,17,23,73.9,"['235', '234', '125', '134', '25', '24']"
model54.csv,17,22,77.3,"['234', '125', '134', '25', '24']"
model117.csv,16,22,72.7,"['235', '135', '125', '134', '25', '15']"
model472.csv,20,26,76.9,"['145', '125', '124', '25', '15', '14']"
model389.csv,21,24,87.5,"['135', '25', '15']"
model413.csv,21,26,80.8,"['145', '135', '35', '15', '14']"
model259.csv,17,18,94.4,['234']
model223.csv,20,26,76.9,"['145', '234', '125', '24', '15', '14']"
model139.csv,19,24,79.2,"['234', '134', '125', '34', '23']"
model416.csv,20,26,76.9,"['145', '234', '124', '24', '15', '14']"
model157.csv,16,21,76.2,"['145', '125', '134', '25', '15']"
model8.csv,16,20,80.0,"['125', '134', '25', '15']"
model451.csv,21,24,87.5,"['125', '134', '15']"
model495.csv,18,27,66.7,"['145', '135', '234', '125', '45', '25', '34', '15', '14']"
model322.csv,19,24,79.2,"['234', '134', '35', '34', '24']"
model497.csv,20,27,74.1,"['145', '135', '134', '45', '34', '15', '14']"
model217.csv,18,25,72.0,"['235', '145', '234', '125', '24', '15', '23']"
model489.csv,19,26,73.1,"['234', '125', '35', '25', '34', '24', '23']"
model395.csv,18,25,72.0,"['145', '135', '125', '35', '25', '15', '14']"
model288.csv,18,24,75.0,"['234', '125', '35', '25', '34', '24']"
model27.csv,20,23,87.0,"['135', '34', '15']"
model96.csv,17,23,73.9,"['145', '234', '134', '125', '34', '24']"
model112.csv,16,21,76.2,"['235', '234', '125', '25', '34']"
model343.csv,19,25,76.0,"['145', '125', '35', '25', '15', '14']"
model429.csv,19,21,90.5,"['145', '234']"
model238.csv,20,21,95.2,['25']
model242.csv,17,22,77.3,"['135', '234', '25', '34', '15']"
model332.csv,16,22,72.7,"['235', '135', '234', '25', '34', '15']"
model340.csv,21,24,87.5,"['145', '134', '15']"
model146.csv,15,16,93.8,['145']
model354.csv,20,25,80.0,"['234', '134', '124', '34', '23']"
model107.csv,15,20,75.0,"['235', '234', '125', '25', '34']"
model199.csv,19,24,79.2,"['135', '125', '134', '25', '15']"
model408.csv,16,25,64.0,"['235', '145', '234', '134', '124', '34', '24', '15', '23']"
model241.csv,19,22,86.4,"['125', '134', '15']"
model111.csv,17,21,81.0,"['235', '125', '25', '15']"
model93.csv,17,23,73.9,"['145', '135', '134', '125', '34', '15']"
model439.csv,16,18,88.9,"['235', '234']"
model380.csv,17,19,89.5,"['235', '234']"
model17.csv,19,21,90.5,"['134', '34']"
model40.csv,15,20,75.0,"['234', '125', '134', '25', '34']"
model9.csv,16,20,80.0,"['234', '125', '25', '34']"
model364.csv,20,22,90.9,"['145', '25']"
model475.csv,19,26,73.1,"['145', '135', '134', '35', '34', '15', '14']"
model155.csv,16,20,80.0,"['145', '134', '125', '34']"
model66.csv,16,17,94.1,['145']
model419.csv,19,26,73.1,"['235', '145', '234', '124', '24', '15', '23']"
model330.csv,19,21,90.5,"['235', '25']"
model177.csv,15,20,75.0,"['235', '125', '134', '25', '15']"
model1.csv,16,16,100.0,[]
model251.csv,18,23,78.3,"['135', '134', '124', '34', '15']"
model501.csv,19,27,70.4,"['145', '234', '134', '45', '34', '24', '15', '14']"
model41.csv,18,20,90.0,"['134', '34']"
model432.csv,21,23,91.3,"['145', '25']"
